column,inferred_dtype,non_null,distinct,example_values,description
OBJECTID,integer,26,26,"1, 2, 3",
STATECODE,integer,26,1,45,
COUNTYCODE,integer,26,26,"3, 59, 35",
GNIS_ID,integer,26,26,"1247979, 1248009, 1247998",
ST_CNTY_CODE,integer,26,26,"45003, 45059, 45035",
COUNTY_NAME,string,26,26,"Aiken County, Laurens County, Dorchester County",
STATE_POSTAL_ABBR,string,26,1,SC,
GIS_ACRES,float,26,26,"691089.704, 463059.439, 367734.341",
STATENAME,string,26,1,South Carolina,
Count of Points,integer,26,15,"14, 3, 7",
Area in Square Miles,float,26,26,"1079.955379, 723.4903271, 574.4506965",
Count_Naloxone_Centers_per_1000_square_miles,float,26,26,"12.96349857, 4.146565458, 24.37110806",
Multiple_Cause_of_death,string,26,3,"Other synthetic narcotics, Other opioids, Heroin",
Multiple_Cause_of_death_Code,string,26,3,"T40.4, T40.2, T40.1",
Number of Deaths,integer,26,18,"63, 17, 16",
Population,integer,26,26,"170776, 67803, 163327",
Death_Rates_per_10000_pop,float,26,26,"3.689042957, 2.50726369, 0.979629822",
2023 Total Population (Esri),integer,26,26,"173221, 68513, 169183",
2023 Household Population (Esri),integer,26,26,"170529, 66620, 167176",
2023 Group Quarters Population (Esri),integer,26,26,"2692, 1893, 2007",
2023 Population Density (Pop per Square Mile) (Esri),float,26,26,"161.7, 96.0, 295.1",
2023 Total Households (Esri),integer,26,26,"71883, 27204, 63276",
2023 Average Household Size (Esri),float,26,18,"2.37, 2.45, 2.64",
2023 Total Housing Units (Esri),integer,26,26,"79701, 31884, 68027",
2023 Owner Occupied Housing Units (Esri),integer,26,26,"56494, 19068, 46669",
2023 Renter Occupied Housing Units (Esri),integer,26,26,"15389, 8136, 16607",
2023 Vacant Housing Units (Esri),integer,26,26,"7818, 4680, 4751",
2020-2023 Population: Compound Annual Growth Rate (Esri),float,26,24,"0.8, 0.44, 1.43",
2020-2023 Households: Compound Annual Growth Rate (Esri),float,26,25,"1.07, 0.59, 1.52",
2023 Housing Affordability Index (Esri),integer,26,21,"124, 147, 104",
2023 Percent of Income for Mortgage (Esri),float,26,23,"21.0, 17.7, 24.5",
2023 Wealth Index (Esri),integer,26,24,"84, 55, 95",
2023 Socioeconomic Status Index (Esri),float,26,25,"49.6, 43.6, 49.9",
2023 Generation Alpha Population (Born 2017 or Later) (Esri),integer,26,26,"13279, 5401, 15093",
2023 Generation Z Population (Born 1999 to 2016) (Esri),integer,26,26,"34957, 14556, 38670",
2023 Millennial Population (Born 1981 to 1998) (Esri),integer,26,26,"39969, 14877, 43546",
2023 Generation X Population (Born 1965 to 1980) (Esri),integer,26,26,"33141, 13743, 34244",
2023 Baby Boomer Population (Born 1946 to 1964) (Esri),integer,26,26,"42032, 16320, 31603",
2023 Silent & Greatest Generations Population (Born 1945/Earlier) (Esri),integer,26,26,"9843, 3616, 6027",
2023 Population by Generation Base (Esri),integer,26,26,"173221, 68513, 169183",
2023 Child Population (Age <18) (Esri),integer,26,26,"35764, 14223, 40288",
2023 Working-Age Population (Age 18-64) (Esri),integer,26,26,"100789, 40297, 103555",
2023 Senior Population (Age 65+) (Esri),integer,26,26,"36668, 13993, 25340",
2023 Child Dependency Ratio (Esri),float,26,24,"35.5, 35.3, 38.9",
2023 Age Dependency Ratio (Esri),float,26,25,"71.9, 70.0, 63.4",
2023 Senior Dependency Ratio (Esri),float,26,25,"36.4, 34.7, 24.5",
